City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ushuaia,-54.8,-68.3,282.94,61,75,13.89,AR,1702221415
1,rio preto da eva,-2.6994,-59.6997,307.43,49,100,1.28,BR,1702221415
2,adamstown,-25.066,-130.1015,294.31,64,95,5.39,PN,1702221415
3,saint-francois,46.4154,3.9054,285.18,67,100,3.6,FR,1702221415
4,constantia,44.1833,28.65,273.53,82,98,4.38,RO,1702221416
5,waitangi,-43.9535,-176.5597,282.49,61,21,5.81,NZ,1702221416
6,hermanus,-34.4187,19.2345,296.29,51,0,9.17,ZA,1702221416
7,afaahiti,-17.75,-149.2833,298.08,84,87,10.74,PF,1702221416
8,nuku'alofa,-21.1333,-175.2,295.34,88,20,1.54,TO,1702221416
9,igarka,67.4667,86.5833,237.43,98,100,1.88,RU,1702221416
10,margaret river,-33.95,115.0667,291.31,42,0,5.63,AU,1702221417
11,pontotoc,34.2479,-88.9987,280.93,59,5,6.93,US,1702221417
12,bibiani,6.4635,-2.3194,307.26,34,25,1.16,GH,1702221417
13,qaqortoq,60.7167,-46.0333,266.12,73,99,2.1,GL,1702221418
14,sisimiut,66.9395,-53.6735,268.81,94,100,5.13,GL,1702221122
15,st. john's,47.5649,-52.7093,275.91,81,100,5.14,CA,1702221418
16,menongue,-14.6585,17.691,298.38,54,99,1.36,AO,1702221418
17,thompson,55.7435,-97.8558,255.24,85,75,2.06,CA,1702221418
18,bilibino,68.0546,166.4372,247.12,100,86,1.81,RU,1702221419
19,petropavlovsk-kamchatsky,53.0452,158.6483,273.48,95,100,8.0,RU,1702221419
20,longyearbyen,78.2186,15.6401,269.06,86,75,0.51,SJ,1702221419
21,el porvenir,13.7617,-87.3458,297.78,53,1,2.36,HN,1702221419
22,kodiak,57.79,-152.4072,274.88,93,100,11.32,US,1702221420
23,kruisfontein,-34.0033,24.7314,293.09,64,82,5.3,ZA,1702221420
24,yellowknife,62.456,-114.3525,262.82,100,100,4.47,CA,1702221122
25,mount pearl,47.5166,-52.7813,275.45,81,100,5.14,CA,1702221420
26,kone,-21.0595,164.8658,295.92,74,100,2.15,NC,1702221420
27,port-aux-francais,-49.35,70.2167,276.35,74,33,11.88,TF,1702221420
28,merritt,50.1123,-120.7942,269.44,93,95,1.79,CA,1702221421
29,utrik,11.2278,169.8474,300.09,80,78,10.24,MH,1702221421
30,fonte boa,-2.4959,-66.2662,305.15,58,89,1.3,BR,1702221421
31,tsiombe,-25.3,45.4833,301.19,59,0,4.31,MG,1702221421
32,mawlamyinegyunn,16.3833,95.2667,297.12,80,48,2.73,MM,1702221422
33,huarmey,-10.0681,-78.1522,295.67,73,48,3.73,PE,1702221422
34,brisas de zicatela,15.8369,-97.0419,300.44,69,0,3.09,MX,1702221422
35,joshimath,30.5667,79.5667,279.58,25,1,3.66,IN,1702221422
36,broome,42.2506,-75.833,285.36,94,100,3.6,US,1702221423
37,la ronge,55.1001,-105.2842,260.29,85,20,3.6,CA,1702221423
38,coahuayana de hidalgo,18.7,-103.6583,299.82,55,100,1.07,MX,1702221423
39,penzance,50.1186,-5.5371,285.53,82,97,13.72,GB,1702221423
40,hamilton,39.1834,-84.5333,276.71,78,100,4.92,US,1702221423
41,as samawah,31.332,45.2944,296.02,32,69,2.56,IQ,1702221424
42,thinadhoo,0.5333,72.9333,301.56,73,92,1.01,MV,1702221424
43,mount darwin,-16.7725,31.5838,307.62,22,94,3.71,ZW,1702221424
44,raja,8.4596,25.678,307.81,13,38,1.47,SS,1702221424
45,bardai,11.65,7.2333,304.05,8,79,4.02,NG,1702221424
46,khandyga,62.6667,135.6,239.57,99,100,1.32,RU,1702221425
47,albany,42.6001,-73.9662,287.09,83,100,1.34,US,1702221425
48,valdivia,-39.8142,-73.2459,295.36,39,84,1.6,CL,1702221206
49,olonkinbyen,70.9221,-8.7187,267.28,58,14,1.18,SJ,1702221425
50,chapada dos guimaraes,-15.4606,-55.7497,303.96,24,11,0.89,BR,1702221425
51,edinburgh of the seven seas,-37.0676,-12.3116,286.27,69,100,5.8,SH,1702221426
52,papao,-17.75,-149.55,298.97,85,87,11.97,PF,1702221426
53,bambari,5.768,20.6757,307.26,25,82,1.55,CF,1702221426
54,hawaiian paradise park,19.5933,-154.9731,295.95,98,100,2.06,US,1702221426
55,al bawiti,28.3492,28.8659,292.59,31,18,3.81,EG,1702221427
56,nova vicosa,-17.8919,-39.3719,301.78,64,46,4.56,BR,1702221427
57,carnarvon,-24.8667,113.6333,300.72,37,0,5.21,AU,1702221175
58,portland,45.5234,-122.6762,284.42,96,100,4.92,US,1702221128
59,al jawf,29.5,38.75,295.07,41,100,1.95,SA,1702221428
60,talnakh,69.4865,88.3972,243.82,99,100,3.62,RU,1702221428
61,jamestown,42.097,-79.2353,277.9,96,100,2.06,US,1702221428
62,bridgewater,44.3835,-64.5155,280.94,92,100,5.66,CA,1702221428
63,gobabis,-22.45,18.9667,304.51,11,98,8.63,NA,1702221428
64,arraial do cabo,-22.9661,-42.0278,299.07,61,75,5.14,BR,1702221429
65,west island,-12.1568,96.8225,299.14,83,35,5.66,CC,1702221429
66,jaisalmer,26.9147,70.9181,293.93,20,2,1.68,IN,1702221429
67,ilulissat,69.2167,-51.1,269.16,74,100,6.69,GL,1702221291
68,puerto ayora,-0.7393,-90.3518,300.13,80,70,4.32,EC,1702221429
69,howrah,22.5892,88.3103,294.15,64,0,0.0,IN,1702221419
70,isafjordur,66.0755,-23.124,269.17,86,20,1.03,IS,1702221430
71,saldanha,-33.0117,17.9442,299.18,70,21,7.83,ZA,1702221430
72,aasiaat,68.7098,-52.8699,266.82,94,100,6.56,GL,1702221285
73,sandnessjoen,66.0217,12.6316,273.21,55,0,1.54,NO,1702221430
74,irati,-25.4672,-50.6511,289.92,99,100,0.11,BR,1702221338
75,cabo san lucas,22.8909,-109.9124,294.68,51,0,4.63,MX,1702221431
76,alaghsas,17.0187,8.0168,301.09,15,3,10.29,NE,1702221431
77,guerrero negro,27.9769,-114.0611,287.71,38,0,1.57,MX,1702221397
78,iqaluit,63.7506,-68.5145,268.0,85,100,4.12,CA,1702221431
79,dudinka,69.4058,86.1778,244.05,96,100,1.34,RU,1702221432
80,ambagarh chauki,20.7833,80.7167,291.9,58,0,1.81,IN,1702221432
81,acapulco de juarez,16.8634,-99.8901,299.05,78,75,2.57,MX,1702221163
82,taro,-8.3862,115.28,297.15,93,93,0.78,ID,1702221432
